Facility Name,Building Function,Sq. Ft.,Address,Latitude,Longitude,TopLeft,TopRight,BottomLeft,BottomRight
South Cargo Building A,"Cargo""","127,331","4301 ASR Road Atlanta, GA 30320",33.656824,-84.423648,"(33.666824, -84.433648)","(33.666824, -84.413648)","(33.646824, -84.433648)","(33.646824, -84.413648)"
South Cargo Building B,Cargo,"130,634","4300 ASR Road Atlanta, GA 30320",33.656824,-84.423648,"(33.666824, -84.433648)","(33.666824, -84.413648)","(33.646824, -84.433648)","(33.646824, -84.413648)"
South Cargo Building C,Cargo,"125,524","4400 South Cargo Drive, Atlanta, GA 30319",33.6281164,-84.4267115,"(33.6381164, -84.4367115)","(33.6381164, -84.41671149999999)","(33.618116400000005, -84.4367115)","(33.618116400000005, -84.41671149999999)"
South Cargo Building D,Cargo,"125,524","4200 South Cargo Drive, Atlanta, GA 30320",33.612367,-84.43037,"(33.622367, -84.44037)","(33.622367, -84.42036999999999)","(33.602367, -84.44037)","(33.602367, -84.42036999999999)"
UPS,Cargo,"23,031","1240 Toffie Terrace, Atlanta, GA 30354",33.6541495,-84.4288483,"(33.6641495, -84.4388483)","(33.6641495, -84.4188483)","(33.644149500000005, -84.4388483)","(33.644149500000005, -84.4188483)"
C4 Building - Integrated Operations Center (IOC),Emergency Response,"29,235","720 Doug Davis Drive, Hapeville, GA",33.6563568,-84.413524,"(33.666356799999996, -84.423524)","(33.666356799999996, -84.40352399999999)","(33.6463568, -84.423524)","(33.6463568, -84.40352399999999)"
Fire Station 24,Emergency Response,"23,526","3300 Inner Loop Road, Atlanta, GA 30320",33.637218,-84.417013,"(33.647217999999995, -84.427013)","(33.647217999999995, -84.40701299999999)","(33.627218, -84.427013)","(33.627218, -84.40701299999999)"
Fire Station 32,Emergency Response,"26,000","8500 N Terminal Pkwy, College Park, GA 30337",33.6413861,-84.4525897,"(33.651386099999996, -84.46258970000001)","(33.651386099999996, -84.4425897)","(33.6313861, -84.46258970000001)","(33.6313861, -84.4425897)"
Fire Station 33,Emergency Response,"22,161","1401 South Loop Road, Atlanta, GA 30320",33.639966,-84.510759,"(33.649966, -84.520759)","(33.649966, -84.50075899999999)","(33.629966, -84.520759)","(33.629966, -84.50075899999999)"
Fire Station 35,Emergency Response,"21,000","2150 Central Cargo Circle, Atlanta, GA 30354",33.661964,-84.402279,"(33.671963999999996, -84.412279)","(33.671963999999996, -84.39227899999999)","(33.651964, -84.412279)","(33.651964, -84.39227899999999)"
Fire Station 40,Emergency Response,"28,374","4600 ASR Road, Atlanta, GA 30320",33.656824,-84.423648,"(33.666824, -84.433648)","(33.666824, -84.413648)","(33.646824, -84.433648)","(33.646824, -84.413648)"
FIS Fuel Farm,Fuel Farm,"1,737","1635 NLVR Road, Atlanta GA, 30320",33.656824,-84.423648,"(33.666824, -84.433648)","(33.666824, -84.413648)","(33.646824, -84.433648)","(33.646824, -84.413648)"
City Fuel Farm,Fuel Farm,"1,022","1 Fuel Farm Road, Atlanta, GA, 30320",33.591049,-84.478872,"(33.601048999999996, -84.488872)","(33.601048999999996, -84.46887199999999)","(33.581049, -84.488872)","(33.581049, -84.46887199999999)"
USPS,Lease,"334,000","2310 Maynard H Jackson Jr Blvd., Atlanta, GA 30320",33.793338,-84.500417,"(33.803338, -84.510417)","(33.803338, -84.490417)","(33.783338, -84.510417)","(33.783338, -84.490417)"
Facilities Maintenance Building 1,Maintenance,"16,491","1300 Inner Loop Road, Atlanta, GA 30337",33.637292,-84.415693,"(33.647292, -84.42569300000001)","(33.647292, -84.405693)","(33.627292000000004, -84.42569300000001)","(33.627292000000004, -84.405693)"
Facilities Maintenance Building 2,Maintenance,"40,671","1300 Inner Loop Road, Atlanta, GA 30337",33.637292,-84.415693,"(33.647292, -84.42569300000001)","(33.647292, -84.405693)","(33.627292000000004, -84.42569300000001)","(33.627292000000004, -84.405693)"
Facilities Maintenance Building 3,Maintenance,"6,072","1300 Inner Loop Road, Atlanta, GA 30337",33.637292,-84.415693,"(33.647292, -84.42569300000001)","(33.647292, -84.405693)","(33.627292000000004, -84.42569300000001)","(33.627292000000004, -84.405693)"
Facilities Maintenance Building 4,Maintenance,"30,575","1300 Inner Loop Road, Atlanta, GA 30337",33.637292,-84.415693,"(33.647292, -84.42569300000001)","(33.647292, -84.405693)","(33.627292000000004, -84.42569300000001)","(33.627292000000004, -84.405693)"
Facilities Maintenance Building 5,Maintenance,"3,965","1300 Inner Loop Road, Atlanta, GA 30337",33.637292,-84.415693,"(33.647292, -84.42569300000001)","(33.647292, -84.405693)","(33.627292000000004, -84.42569300000001)","(33.627292000000004, -84.405693)"
Facilities Maintenance Building 6,Maintenance,"19,907","3689 Cargo Service Road, Atlanta, GA 30320",33.8531,-84.458704,"(33.863099999999996, -84.468704)","(33.863099999999996, -84.44870399999999)","(33.8431, -84.468704)","(33.8431, -84.44870399999999)"
Facilities Maintenance Building 7,Maintenance,"18,701","2000 Cargo Service Road, Atlanta, GA 30320",33.8531,-84.458704,"(33.863099999999996, -84.468704)","(33.863099999999996, -84.44870399999999)","(33.8431, -84.468704)","(33.8431, -84.44870399999999)"
Facilities Maintenance Building 8(New),Maintenance,"40,000","4650 ASR Road, Atlanta, GA 30337",33.642809,-84.461778,"(33.652809, -84.471778)","(33.652809, -84.45177799999999)","(33.632809, -84.471778)","(33.632809, -84.45177799999999)"
Motor Transport Building,Maintenance,"7,200","4550 ARS Road, Atlanta, GA",33.844371,-84.47405,"(33.854371, -84.48405000000001)","(33.854371, -84.46405)","(33.834371000000004, -84.48405000000001)","(33.834371000000004, -84.46405)"
ATL West Parking Deck,Parking,"1,800,000","2079 Hospitality Wy, College Park, GA 30337",33.6412358,-84.4570911,"(33.651235799999995, -84.4670911)","(33.651235799999995, -84.4470911)","(33.6312358, -84.4670911)","(33.6312358, -84.4470911)"
Domestic Commercial Vehicle Hold-Lot,Parking,"7,515","6000 N Terminal Parkway, Atlanta, GA 30320",33.6374008,-84.4298161,"(33.6474008, -84.4398161)","(33.6474008, -84.41981609999999)","(33.627400800000004, -84.4398161)","(33.627400800000004, -84.41981609999999)"
International Commercial Vehicle Hold Lot,Parking,"3,482","3945 North Loop Road, Atlanta, GA 30354",33.6654,-84.416513,"(33.675399999999996, -84.426513)","(33.675399999999996, -84.40651299999999)","(33.6554, -84.426513)","(33.6554, -84.40651299999999)"
Park ATL Select,Parking,"2,600","1800 Sullivan Rd, College Park, GA 30337",33.626519,-84.451589,"(33.636519, -84.461589)","(33.636519, -84.441589)","(33.616519000000004, -84.461589)","(33.616519000000004, -84.441589)"
Technical Support Campus (Pod A-C),Support,"62,667","1255 South Loop Road, College Park, GA 30337",33.664892,-84.447045,"(33.674892, -84.45704500000001)","(33.674892, -84.437045)","(33.654892000000004, -84.45704500000001)","(33.654892000000004, -84.437045)"
Technical Support Campus (Pod D & E),Support,"10,260","1255 South Loop Road, College Park, GA 30337",33.664892,-84.447045,"(33.674892, -84.45704500000001)","(33.674892, -84.437045)","(33.654892000000004, -84.45704500000001)","(33.654892000000004, -84.437045)"
Toffie Terrace,Support,"137,259","1220 Toffie Terrace, Atlanta, GA 30354",33.654243,-84.4289051,"(33.664243, -84.4389051)","(33.664243, -84.41890509999999)","(33.644243, -84.4389051)","(33.644243, -84.41890509999999)"
North Cargo Facility (DOA),Support,"454,396","3400 Inner Loop Road, Atlanta, GA 30354",33.637218,-84.417013,"(33.647217999999995, -84.427013)","(33.647217999999995, -84.40701299999999)","(33.627218, -84.427013)","(33.627218, -84.40701299999999)"
COA Airport Rescue & Fire Fighting Training Facility,Support,"26,521","860 Lake Mirror Road, Atlanta, GA 30349",33.628691,-84.4138,"(33.638691, -84.4238)","(33.638691, -84.40379999999999)","(33.618691000000005, -84.4238)","(33.618691000000005, -84.40379999999999)"
COA APD K-9 Facility(New),Support,"13,000","1750 Sullivan Rd, College Park, Atlanta, GA 30377",33.628115,-84.448873,"(33.638115, -84.45887300000001)","(33.638115, -84.438873)","(33.618115, -84.45887300000001)","(33.618115, -84.438873)"
North DeIcing - Glycol Building,Support,"58,607","1012 Toffee Terrace, Atl, Ga 30320",33.683934,-84.607046,"(33.693934, -84.617046)","(33.693934, -84.59704599999999)","(33.673934, -84.617046)","(33.673934, -84.59704599999999)"
RAMP - Mixing and Dosing,Support,"1,536","4800 South Cargo Drive, Atlanta, GA 30337",33.611601,-84.430372,"(33.621601, -84.44037200000001)","(33.621601, -84.420372)","(33.601601, -84.44037200000001)","(33.601601, -84.420372)"
South Deicing Facility,Support,"28,500","4800 South Cargo Drive, Atlanta, GA 30337",33.611601,-84.430372,"(33.621601, -84.44037200000001)","(33.621601, -84.420372)","(33.601601, -84.44037200000001)","(33.601601, -84.420372)"
COA Fire & Atlanta Airport Fire Department Office,Support,"2,500","5155 Clipper Dr,Atlanta, GA 30349",33.939402,-84.403622,"(33.949402, -84.413622)","(33.949402, -84.393622)","(33.929402, -84.413622)","(33.929402, -84.393622)"
Airport Station,Transportation,"39,286","6000 N Terminal Parkway, Atlanta, GA 30320",33.6374008,-84.4298161,"(33.6474008, -84.4398161)","(33.6474008, -84.41981609999999)","(33.627400800000004, -84.4398161)","(33.627400800000004, -84.41981609999999)"
GICC Station,Transportation,"27,841","2000 Convention Center Concourse, College Park GA30337",33.6450393,-84.4593085,"(33.6550393, -84.46930850000001)","(33.6550393, -84.4493085)","(33.6350393, -84.46930850000001)","(33.6350393, -84.4493085)"
Rental Car Center,Transportation,"362,060","2200 Rental Car Center Pkwy, College Park, GA 30337",33.6409602,-84.4649209,"(33.6509602, -84.4749209)","(33.6509602, -84.45492089999999)","(33.630960200000004, -84.4749209)","(33.630960200000004, -84.45492089999999)"
Central Airfield Electrical Vault,Utilities,"5,363","4600 ASR Road, Atlanta, GA 30320",33.656824,-84.423648,"(33.666824, -84.433648)","(33.666824, -84.413648)","(33.646824, -84.433648)","(33.646824, -84.413648)"
Interstate (I-285) Bridge Utility Plant,Utilities,"4,700","1320 S Perimeter Hwy, Atlanta, GA 30349",33.618519,-84.432657,"(33.628519, -84.44265700000001)","(33.628519, -84.422657)","(33.608519, -84.44265700000001)","(33.608519, -84.422657)"
North Airfield Electrical Vault,Utilities,"10,269","1775 Maynard Jackson Boulevard, Atlanta, GA 30320",33.793338,-84.500417,"(33.803338, -84.510417)","(33.803338, -84.490417)","(33.783338, -84.510417)","(33.783338, -84.490417)"
South Airfield Electrical Vault,Utilities,"5,363","1401 South Loop Road, Atlanta, GA 30320",33.639966,-84.510759,"(33.649966, -84.520759)","(33.649966, -84.50075899999999)","(33.629966, -84.520759)","(33.629966, -84.50075899999999)"
